model,tag,variant_name,lang_b,n_pairs,n_original_yes,n_variant_yes,mean_prob_yes_drop,preservation_consistency_rate,overall_decision_consistency_rate
embedding_svm,phase5a,preserving,C++,25,18,15,0.10877600000000003,0.7777777777777778,0.8
embedding_svm,phase5a,preserving,Go,24,19,15,0.17538750000000003,0.7368421052631579,0.75
embedding_svm,phase5a,preserving,JavaScript,22,17,12,0.20100454545454546,0.6470588235294118,0.6818181818181818
embedding_svm,phase5a,preserving,Python,23,17,13,0.14006521739130437,0.6470588235294118,0.6521739130434783
